Stage,Semester,Class,Topic,Grade,Password,Birth Place
MiddleSchool,3,D,IT,B,4=ZBrr~5?eMJ~baf-Hj,Kuwait
lowerlevel,2,C,IT,A,h&6>vlh\Ak|vY03,Kuwait
lowerlevel,4,D,English,A,6SgiTz3VI[F76,Kuwait
MiddleSchool,4,C,Science,F,_)&CzS8@%8qDi<,Kuwait
MiddleSchool,5,D,English,B,LguWBcRwEa5R;9-^!],Kuwait
MiddleSchool,1,A,Science,S,6$mww;5J_e,Kuwait
MiddleSchool,5,D,IT,A,&+KW! w*e,Egypt
MiddleSchool,1,A,IT,B,wEH\<!=^Un,Kuwait
MiddleSchool,8,C,Science,C,Qx`!,Saudiarabia
MiddleSchool,1,C,IT,D,%/u!#,Kuwait
MiddleSchool,5,B,IT,S,UmroQb_/,Kuwait
HighSchool,5,D,IT,D, !n_A4-5!fk@0.Am|8.,Kuwait
HighSchool,4,B,IT,A,Y0= U,Kuwait
HighSchool,8,B,IT,B,xHlBq_i)<>_2x(,Kuwait
MiddleSchool,2,B,Quran,D,p2wvX!0O9g,Kuwait
lowerlevel,7,C,English,D,aS{zP@l>?'<HzlQ_R,Kuwait
HighSchool,8,B,English,F,jO~'${16g[Q)M|~jVC(,Kuwait
HighSchool,7,C,English,S,p$t'{9U8]6aQ],Kuwait
HighSchool,7,D,English,D,g~6J0+,Kuwait
HighSchool,1,A,English,S,^K&xIY3w5*!~x6zF jt,Kuwait
HighSchool,1,D,English,B,;fp}),Kuwait
HighSchool,7,A,English,B,fRM-TxvdVfUp;<{_,Kuwait
HighSchool,1,C,Science,C,Ru=Lf!ue5|,Kuwait
HighSchool,2,A,English,C,_N?_1<9b9c9(!Qd]8,Kuwait
MiddleSchool,8,A,Math,B,y:i9U;#Tz5r{%2n,Kuwait
MiddleSchool,8,A,Math,D,Z:xE5,Usa
MiddleSchool,1,A,Math,A,G~UI,Kuwait
MiddleSchool,4,A,Math,D,$86f]&$x&zmoUL[_T,Kuwait
MiddleSchool,1,C,Math,D,g+]#,Usa
lowerlevel,6,C,English,D,Ujoqa@We]>_B%lj+>#t,Jordan
HighSchool,1,B,IT,D,qBxluhO,Kuwait
HighSchool,3,A,IT,S,$R9s18`~M;,Venzuela
HighSchool,6,B,IT,A,t'i],Kuwait
HighSchool,6,D,IT,D,9<b2.r!['w@V_3-u,Kuwait
HighSchool,2,C,English,F,wQgIOG E#9f=Qc*M,Kuwait
HighSchool,2,C,English,B,oMq^$lL<&549{2S,Kuwait
HighSchool,3,C,English,A,Be|*y$,Usa
HighSchool,6,A,IT,B,pUtz_8fhNh*T,Usa
MiddleSchool,1,C,IT,F,s'aju:GGyS+$(p,Jordan
MiddleSchool,6,B,IT,S,FQ!\|8%WCN,Jordan
MiddleSchool,8,C,IT,B,q()U!@,Kuwait
MiddleSchool,5,A,Math,D,7mP8w=5`|s8KPYFE9,Kuwait
MiddleSchool,2,A,English,F,5L/M!A4rAU;d)_m),Kuwait
MiddleSchool,1,A,IT,S,l61Wyn+Vf(}XYV6,Kuwait
MiddleSchool,6,B,Quran,D,r@^uHN%Umif)D7,Jordan
HighSchool,6,C,IT,B,q&rKNP?xm=1J+&,Iran
HighSchool,3,B,IT,A,2w?31Y9yQ,Kuwait
HighSchool,2,B,Quran,A,OjXU6&j,Kuwait
MiddleSchool,5,B,Math,F,WPDi6:sRM{,Lebanon
MiddleSchool,4,D,Math,D,{4_$3IJs8J@,Kuwait
lowerlevel,2,B,IT,B,p^dwr,Kuwait
lowerlevel,1,D,IT,S,NQ{U?YSx/J,Kuwait
lowerlevel,8,B,IT,S,#ue9Sxh,Kuwait
lowerlevel,6,A,IT,B,YLX*P3)N:v^2h{Xm1A,Kuwait
lowerlevel,1,C,IT,F,raQVGd^4s4Ggm_1p[,Kuwait
lowerlevel,5,B,IT,A,Igu'p!Y]ZeFfbLw{,Saudiarabia
lowerlevel,5,C,IT,B,2>1QjR1 ?)U%k66,Kuwait
lowerlevel,8,A,IT,S,#|I|HPzXDj@!p,Kuwait
lowerlevel,4,D,IT,F,ys7:&s?g:@}ED-x[BS,Kuwait
lowerlevel,2,B,IT,B,1DWpq,Kuwait
lowerlevel,4,D,IT,B,pC%'.MyqQKxui;v,Kuwait
lowerlevel,7,A,IT,D,'f\9[,Kuwait
lowerlevel,1,A,IT,B,^k2SBcu@;n2Trtf6,Usa
lowerlevel,5,A,IT,A,Z^N@5w4T<w:Yjc0,Kuwait
lowerlevel,3,A,IT,B,7]'\,Kuwait
lowerlevel,7,A,IT,F,g$-\oS0/kt *.,Kuwait
lowerlevel,3,B,IT,D,&qs|.x}xO'0O5-,Kuwait
lowerlevel,5,C,IT,F,8_^)cm*!4*B5]Y|,Kuwait
lowerlevel,8,B,IT,F,&g;a`x<;q|W/Z)5,Kuwait
lowerlevel,2,B,IT,D,3)BFfp?@Cs,Kuwait
lowerlevel,1,A,IT,B,/Vs/c+,Kuwait
lowerlevel,4,A,IT,D,+T)aFM\S2d\m,Kuwait
lowerlevel,6,C,IT,F,V3 bP#a=Pj^Dtc),Kuwait
lowerlevel,1,C,IT,A,h)9)\n^5B,Kuwait
lowerlevel,5,D,IT,A,7DrP,Kuwait
lowerlevel,8,B,IT,D,ZA RbCYZ`nW,Kuwait
lowerlevel,3,B,IT,F,7uM.OX;IJnX8~}&A0Td,Kuwait
lowerlevel,8,A,IT,S,~;T~M(:G8u{;W}{P\Q9,Saudiarabia
lowerlevel,1,C,IT,B,SqbBm.]i8=:Q~Z5,Kuwait
lowerlevel,1,D,IT,C,WN'.+UVLE{#,Jordan
lowerlevel,6,B,IT,S,z ;S#O /,Kuwait
lowerlevel,2,A,IT,C,|`bQ]e[>-=%],Kuwait
lowerlevel,2,D,IT,F,ktJj&Uk(4y]LEd[EH,Kuwait
lowerlevel,7,A,IT,F,?q#6+g'X`mh$:,Kuwait
lowerlevel,3,C,IT,F,q?dAq,Kuwait
lowerlevel,5,C,IT,B,0nD%,Kuwait
lowerlevel,2,A,IT,B,--n1. ,Kuwait
lowerlevel,6,A,IT,S,zqP!8GNEA5*n \PO>Fa,Kuwait
lowerlevel,1,C,IT,D,zp8PfdOr\73%m[SR]3,Kuwait
lowerlevel,5,D,IT,A,rxxWw:/5%`E,Kuwait
lowerlevel,1,D,IT,B,%-*IQ[z|ph':_[^~X,Kuwait
lowerlevel,1,C,IT,S,z0hVrJtZkj ,Kuwait
lowerlevel,7,C,IT,B,=F\ZXK:xK,Lebanon
lowerlevel,1,B,IT,A,W>4A,Kuwait
lowerlevel,7,D,IT,D,TF7|]4[6KSX+,Kuwait
lowerlevel,4,B,IT,F,0KjL`E;W@Kdt*w''lb>,Iran
lowerlevel,6,D,IT,B,ogKWKh,Kuwait
lowerlevel,3,D,IT,C,z*H_'v0lnSlYb!L>/?,Kuwait
lowerlevel,4,C,IT,A,w*XPT=A-UrZ^,Kuwait
lowerlevel,1,C,IT,S,ncOX=|)<z7L;K_,Kuwait
lowerlevel,2,C,IT,B,j/INh[!wp1Khs1|FX,Jordan
lowerlevel,8,C,IT,S,Q{!<#\&,Kuwait
lowerlevel,5,B,IT,C,yZrmAc :3a Vj7HO`A,Kuwait
MiddleSchool,5,B,Quran,S,f7A<5/|=Z6LF&TIjTpZ,Kuwait
MiddleSchool,5,A,Quran,D,eB22'HvrE,Egypt
HighSchool,5,C,Quran,F,6%.D)rxv5XD[QiWU',Usa
HighSchool,5,D,Quran,A,+=xJ,Usa
MiddleSchool,8,C,Quran,F,/DC|_NH{xW,Egypt
MiddleSchool,4,A,Quran,C,kN[Yr,Usa
MiddleSchool,7,B,Quran,D,3<-T.G-bk:taD,Tunis
MiddleSchool,3,B,Quran,S,CHRZ.{HQ]ZS^q2];1,Tunis
MiddleSchool,5,B,Quran,D,&(sKvivOO!pT=>R,Tunis
MiddleSchool,2,D,Quran,C,vKT}}m?:'.ML,Kuwait
MiddleSchool,4,B,Quran,A,0q\&U>,Kuwait
MiddleSchool,6,C,Quran,C,?ic|tC6 c#h.!6,Saudiarabia
MiddleSchool,6,C,Quran,D,IlWPR*R+,Lebanon
MiddleSchool,7,B,Quran,B,AYy6|^uq)Puws,Lebanon
MiddleSchool,1,D,Quran,C,%[<yd1|AW(sG$,Jordan
MiddleSchool,7,C,Quran,A,bC;{&,Lebanon
HighSchool,3,B,Quran,S,2WmL.md~<_>!p&s*y5v,Saudiarabia
HighSchool,2,D,Science,A,W7z].,Usa
HighSchool,2,C,Science,F,|\;\B*-Pw=zAg(P8Q,Usa
HighSchool,1,B,Spanish,D,Jbne>,Usa
HighSchool,7,A,English,S,5V-A)P,Usa
HighSchool,4,C,Math,B,G)l0A$/,Usa
HighSchool,6,C,French,B,EUx3oY,Usa
HighSchool,4,C,Science,S,jgWAu7b8 =OrD0tSsy,Tunis
MiddleSchool,7,D,Science,D,dnnp$+0@,Kuwait
MiddleSchool,4,D,Science,A,dFZ5]MRZp,Kuwait
MiddleSchool,5,A,Science,D,Mr<./Yho,Jordan
MiddleSchool,5,B,Science,C,$x^Sm.lH_s|Fu,Jordan
lowerlevel,4,A,French,S,Q^H[6S$(uR,Jordan
lowerlevel,3,B,French,S,E+:)MsdZlV<?38,Usa
lowerlevel,5,A,French,D,r-[CE|BS}*p(PTg,Jordan
lowerlevel,1,A,French,F,=s)B`-4oa-W+H*~g^,Morocco
lowerlevel,5,A,French,B,xprL>/2XI,Kuwait
lowerlevel,5,C,French,A,CF%t!-3GA,Tunis
lowerlevel,8,D,French,D, VoE],Kuwait
lowerlevel,4,B,French,A,KK)dU|^5Pd*+ sX',Kuwait
lowerlevel,8,B,French,C,![jKA Mmo0]rV}-^:Y,Kuwait
lowerlevel,5,B,French,S,~Uj5KDP,Kuwait
lowerlevel,2,D,French,C,|@}8WU^z^ui?klBvXqd,Iran
lowerlevel,4,C,French,F,Ahb0DiMCI^,Syria
lowerlevel,2,B,French,F,pXpuO@,Jordan
lowerlevel,3,B,French,A,PP;0@w.;X,Iran
lowerlevel,3,B,French,A,.7]kj98,Tunis
lowerlevel,8,D,French,F,p}>h1g0B;,Usa
lowerlevel,3,A,French,F,.U7/@v+|HwKQ+dA9RcY,Lebanon
lowerlevel,6,A,French,B,t8RVyE,Lebanon
lowerlevel,6,B,French,C,b:e([(Hn*SxZJTs,Saudiarabia
lowerlevel,4,A,French,B,S{8e,Jordan
MiddleSchool,7,A,Arabic,S,:rE4 1[u@ZvwoPVNX[,Kuwait
MiddleSchool,8,C,Arabic,F,RP+S6x@!QEHG2]?vX:,Lebanon
MiddleSchool,5,A,Arabic,B,[/m-Ty,Lebanon
MiddleSchool,8,A,Arabic,S,3SUh,Jordan
MiddleSchool,3,A,Arabic,S,-LN`}GQLuID[[DN6,Kuwait
MiddleSchool,3,B,Arabic,A,8WTO'>lT\e9|MU`6-G!,Kuwait
MiddleSchool,1,D,Arabic,C,:U&BN-vx~^PhC[)oJ^ ,Kuwait
MiddleSchool,1,A,Arabic,C,o%8yf}{+7hMbSnXO^ &,Kuwait
MiddleSchool,3,A,Arabic,S,$.(S$n>]TA'Pa,Kuwait
MiddleSchool,6,A,Arabic,F,(B? :vYQ)3Q_;'QxS,Kuwait
MiddleSchool,6,A,Arabic,D,}#+t)uYjMNuC*/,Kuwait
MiddleSchool,5,A,Arabic,S,:Vg8wQU},Morocco
MiddleSchool,6,C,Arabic,B,M?1<54LxO;bMXFJ,Morocco
MiddleSchool,4,C,Arabic,C,|lREMW b~uo0r,Kuwait
MiddleSchool,8,B,Arabic,D,aYkQ\otrFF(s#HeY,Kuwait
MiddleSchool,2,D,Arabic,B,[f@J=T,Kuwait
MiddleSchool,7,A,Arabic,F,>76\ttL\oP/,Morocco
MiddleSchool,8,A,Arabic,A,&bbd|Wx@,Kuwait
MiddleSchool,3,A,Arabic,A,jtT\<,Kuwait
MiddleSchool,7,B,Arabic,D,ud##,Lebanon
MiddleSchool,7,A,Arabic,D,)8^jHPje']Vf,Kuwait
MiddleSchool,6,D,Arabic,S,>4*</b|gBM,Kuwait
MiddleSchool,2,C,Arabic,F,[/^`XyIAlfp=ABg,Jordan
MiddleSchool,7,B,Arabic,B,)wb1Fl.g)fM1?,Saudiarabia
MiddleSchool,6,B,Arabic,D,@*M9~D';F,Kuwait
MiddleSchool,4,D,Spanish,F,oq<J/d]R oQ,Kuwait
MiddleSchool,3,B,Spanish,A,@\mUG}#!5c ,Tunis
MiddleSchool,6,A,Spanish,A,Kp}.&HQn4szu@bBP,Kuwait
MiddleSchool,5,C,Spanish,S,=wog;3QI ,Saudiarabia
MiddleSchool,5,A,Spanish,C,VM$:sX~AEY=,Kuwait
MiddleSchool,8,C,Spanish,S,g99Rez6uj,Tunis
MiddleSchool,6,D,Spanish,B,hm|d65P=oH@>%|i,Tunis
MiddleSchool,4,A,Spanish,B,U_<#,Kuwait
MiddleSchool,8,B,Spanish,C,0wFn<LGCJ+,Kuwait
MiddleSchool,3,C,Spanish,A,#j7c=c,Iran
MiddleSchool,7,C,Spanish,B,!`rifI,Kuwait
MiddleSchool,3,A,Spanish,C,;Y$2nN|#xf;3kB$|~,Kuwait
MiddleSchool,8,D,Spanish,S,6=I+`,Kuwait
MiddleSchool,2,D,Spanish,D,uD;Owbq6Eb4v,Lebanon
MiddleSchool,3,D,Spanish,S,Gw.Q4xCqBF0yJ?Vu,Lebanon
MiddleSchool,7,A,Spanish,D,p%aF1c!/\8sG1s,Kuwait
MiddleSchool,6,A,Spanish,S,+k+l*),Kuwait
MiddleSchool,5,D,Spanish,B,W|H\NF8&o3&D;2Cav,Kuwait
MiddleSchool,1,A,Spanish,F,a)jZU,Kuwait
MiddleSchool,4,C,Spanish,D,hS-H*D#,Kuwait
MiddleSchool,3,C,Spanish,B,X 1%`+-p(-N\V,Kuwait
HighSchool,1,D,Math,A,R8(j'7X3T;,Kuwait
MiddleSchool,1,D,Spanish,S,WrEaXQ$d1Q~P,Kuwait
MiddleSchool,6,A,Spanish,C,SAJ/.,Iran
MiddleSchool,5,C,Spanish,F,rxa::IysWSt6&InA(%,Jordan
MiddleSchool,5,A,Quran,A,o#g$Aw{gO50 CZgb1B8,Syria
MiddleSchool,3,C,Science,S,;EV?T5~#A!M,Jordan
MiddleSchool,8,C,Science,C,c2r0H#TcjSrE>,Kuwait
MiddleSchool,6,A,Science,S,n4{T,Kuwait
MiddleSchool,3,C,Science,D,\\||EW-D=nrkrK1*,Jordan
MiddleSchool,7,C,Science,S,2@lVOFJCHM:N>kiX|,Kuwait
MiddleSchool,6,C,Science,F,/O?~Is4a2@0 DY,Kuwait
MiddleSchool,8,C,Science,C,iunb^qUxMY@+3R$M0,Egypt
MiddleSchool,3,D,Science,S,T@}WG:Jfn4#dz<<ll],Kuwait
MiddleSchool,2,A,Science,F,2x[+hp,Egypt
MiddleSchool,1,C,Science,C,mr-(YKi=g#k1a>FW[Kr,Kuwait
MiddleSchool,3,A,Science,B,%QxJ9C,Kuwait
MiddleSchool,7,D,IT,A,4GSxo0BDX,Kuwait
MiddleSchool,3,A,IT,D,bv't'DpMH!J2PCx8cp,Kuwait
MiddleSchool,5,B,Science,A,/J`5?GrC6!UK90x7;Pv,Kuwait
MiddleSchool,7,C,Math,B,1wi?(!k&82cZQ`6,Kuwait
MiddleSchool,1,B,Quran,B,pFER\<%u2,Kuwait
lowerlevel,1,C,IT,C,+b/d`c$Vv]4^g,Kuwait
lowerlevel,2,C,Math,B,dt0v3;>,Kuwait
lowerlevel,6,D,English,A,](B{=3)|x9ZQs,Egypt
lowerlevel,4,A,Science,B,^''us]8m3:M\S@D*,Kuwait
lowerlevel,5,D,Arabic,S,2uQ#!66Dzt9C_fO,Kuwait
lowerlevel,5,B,English,S,PfGw7RGc@Eer5L#k,Kuwait
lowerlevel,4,C,History,A,![D92,Kuwait
lowerlevel,3,A,History,S,v~_(imv2xD+6cx,Kuwait
lowerlevel,3,B,History,B,hdlQQr{-To[,Kuwait
lowerlevel,5,B,History,B,IUni{=av ;zBd1:kL,Kuwait
lowerlevel,5,C,English,A,ZkW|3jPPvrgkL>-9,Kuwait
lowerlevel,3,D,History,C,\ BV8Wn+u-9_q&,Kuwait
lowerlevel,7,C,History,S,\`GKrOw^,Kuwait
lowerlevel,3,D,History,B,QlUo^P,Kuwait
lowerlevel,6,A,Math,S,<GsW@f/x&,Egypt
MiddleSchool,8,D,English,D,rx:.E(BiLSD0<vL^el,Jordan
MiddleSchool,4,D,English,A,ke'162A<,Jordan
MiddleSchool,1,B,English,F,%aE'Q< wp?[,Jordan
MiddleSchool,8,C,English,S,\xVl]vkxS\M8C n3UB,Jordan
MiddleSchool,4,B,English,S,_6uezFy`&Ie)(rtRSjb,Jordan
MiddleSchool,2,C,English,A,YPR:HpAR,Jordan
MiddleSchool,3,D,English,C,i2Au,Jordan
MiddleSchool,1,D,English,S,-_6[j25Ju,Jordan
MiddleSchool,1,A,English,B,YR-;DB))kN!3\ :k,Jordan
MiddleSchool,6,B,English,S,88'99ghf(#,Jordan
MiddleSchool,8,B,English,S,hl4A,Lebanon
MiddleSchool,1,C,English,D,/tZ0r,Lebanon
MiddleSchool,3,B,English,C,O6!#5+w>52<p,Jordan
MiddleSchool,7,A,English,F,Khf52#1,Jordan
MiddleSchool,2,A,English,A,aI]4z,Jordan
MiddleSchool,4,C,English,B,S[y;HXeV9OYB#r*,Jordan
MiddleSchool,8,A,English,S,Dbs0BN?Pj}&75.XH,Iraq
MiddleSchool,4,C,English,B,fL|m*,Iraq
MiddleSchool,3,B,English,S,4;K(^V:Y/]#zkzn7,Jordan
MiddleSchool,6,D,English,C,%.=@}Z7NKI $x}NK,Jordan
MiddleSchool,8,A,English,B,jkR[pQyMkd,Jordan
MiddleSchool,7,D,English,C,-J2{Uwyd\,Jordan
MiddleSchool,6,B,English,D,fMmR6/%;ln&Y,Jordan
MiddleSchool,4,A,English,S,'Stl8`E,Jordan
MiddleSchool,5,C,English,F,i41XsbVO-,Jordan
MiddleSchool,6,B,English,B,Pd:bxSosoK3Y7`>@,Jordan
lowerlevel,6,D,Science,C,19RAT,Jordan
lowerlevel,1,B,Science,A,.^&L+ZH!A6N,Jordan
lowerlevel,8,A,Science,B,V>$i1PN}9ZuqIB7,Palestine
lowerlevel,2,A,Science,B,]}e4,Palestine
lowerlevel,6,A,Science,B,ZbH`r<d|]C<(A\-Tb,Iraq
lowerlevel,7,C,Science,D,FRMY|,Iraq
lowerlevel,1,C,Science,S,Y5^.$b[&@yUVj;R,Jordan
lowerlevel,8,A,Science,A,(g&!`zl[,Jordan
lowerlevel,4,B,Science,A,sIzK.}|Gdak~|=K,Jordan
lowerlevel,8,C,Science,S,V%s4e,Jordan
lowerlevel,6,C,Science,F,O$J6~~|0mQ1f,Jordan
lowerlevel,5,A,Science,C,vA=km3qM*pyIj(,Jordan
lowerlevel,6,B,Science,S,1~Ns_nBDa]UY,Jordan
lowerlevel,1,B,Science,F,`z;LqkDQsc&,Jordan
lowerlevel,2,B,Science,S,wxbRj],Jordan
lowerlevel,2,B,Science,F,72IQI8`~|\zaA!rV,Jordan
lowerlevel,5,C,Science,F,gj:?`boEacX,Jordan
lowerlevel,5,C,Science,C,<GB-7TQs7Rr E,Jordan
lowerlevel,8,A,Science,C,hqyg,Jordan
lowerlevel,8,C,Science,C,xGv)*N9u>=T,Jordan
lowerlevel,4,B,Science,A,x*G`c*O1CxU8?N@5,Jordan
lowerlevel,5,B,Science,F,7)?htv57 ;,Jordan
lowerlevel,8,A,Science,F,I:/X/.|Cf}]#eI]<6](,Jordan
lowerlevel,8,D,Science,C,6uL>xeYKBXd>FV`9,Jordan
lowerlevel,5,B,Science,D,4]!u[>8,Lebanon
lowerlevel,8,A,Science,B,HQ}]ev,Lebanon
lowerlevel,3,C,French,D,Fy77*4(,Jordan
lowerlevel,8,C,French,B,7Gld3},Jordan
lowerlevel,6,A,French,S,Ow}*X`t;4,Jordan
lowerlevel,4,C,French,F,y`NN *}siAOb^Ec[Q%a,Jordan
lowerlevel,5,C,French,F,)-s;ujvU^>GU:me,Jordan
lowerlevel,3,D,French,F,aj>uuem&SA6,Jordan
lowerlevel,6,D,French,A,z[9UmZ|\g~)_,Jordan
lowerlevel,2,A,French,F,XZn%}C\QM#,Jordan
lowerlevel,7,C,French,F,R>U3'\v,Syria
lowerlevel,6,D,French,D,|5V:aj,Syria
lowerlevel,7,D,French,A,u>zLK!1<y.rocmu,Jordan
lowerlevel,1,C,French,A,J(-X'wyi,Jordan
lowerlevel,8,D,French,B,*nXbHF,Palestine
lowerlevel,1,D,French,A,O)&9H@~%!.$%]2\k+,Palestine
lowerlevel,4,A,French,A,*P5rW{z\_JYge*+,Jordan
lowerlevel,8,A,French,C,LaL p;#,Jordan
lowerlevel,4,C,French,B,r5I&\DB}Is5%,Jordan
lowerlevel,4,A,French,S,=C]&@sGWnQ),Jordan
lowerlevel,8,A,French,B,~#\>>,Lybia
lowerlevel,3,D,French,F,SN$aJmSkrw,Lybia
lowerlevel,2,C,French,D,L2DKUC/[80C\Jd&u,Jordan
lowerlevel,3,D,French,D,f]%x%&<:]AcK*kR!=Qc,Jordan
lowerlevel,7,D,French,B,Q;I:S\N&<AWuXe5.7q,Jordan
lowerlevel,4,C,French,B,8CZMC>m[5L>6i!,Jordan
lowerlevel,6,B,French,B,)L1J/js6h,Iraq
lowerlevel,4,A,French,C,~rpt2,Iraq
lowerlevel,5,D,French,F,pYo)Qm]6utdxt]d'^,Jordan
lowerlevel,5,A,French,C,0ik[ib,Jordan
lowerlevel,7,A,French,F,E|$.*H(Pfd&e{,Jordan
lowerlevel,7,D,French,A,@0p-q>jR~I/0u2VHa),Jordan
lowerlevel,5,D,French,A,w:oPoM5tQOi*zEsB0m,Jordan
lowerlevel,6,B,French,C,.JU=Z,Jordan
lowerlevel,7,D,French,D,v#F~f,Lybia
lowerlevel,6,A,French,B,6KQAq%QLHC6oK;'Qtr0,Lybia
lowerlevel,3,A,French,C,o9H]y_~W:v\aWX,Egypt
lowerlevel,8,B,French,C,\Vl<jZT;>/&8rxi8a,Egypt
lowerlevel,5,B,French,B,e)Yl'PVh^8kxiBg%f,Jordan
lowerlevel,4,B,French,S,lUX)kzy\~uOKt%9,Jordan
lowerlevel,1,C,French,A,mNpO7AICx?-,Jordan
lowerlevel,2,C,French,B,6'|t2oJl,Jordan
lowerlevel,1,C,French,S,R47]+VInP}]3sE{,Jordan
lowerlevel,8,B,French,B,L|V58Rh,Jordan
lowerlevel,1,C,French,A,OL(o636t4sl,Lebanon
lowerlevel,6,B,French,A,/K'WcCFV,Lebanon
lowerlevel,6,C,Arabic,F,Vgm&yE&^Fg:%s_,Jordan
lowerlevel,6,B,Arabic,B,)rp=M!lUO(Qc,Jordan
lowerlevel,5,D,Arabic,S,;zRdIb}4vC]$4TAhU1,Jordan
lowerlevel,7,D,Arabic,C,wV5Z*X$$ ,Jordan
lowerlevel,5,D,Arabic,C,<_I Ats,Iraq
lowerlevel,2,C,Arabic,C,1C9lp,Iraq
lowerlevel,8,B,Arabic,B,i>T_x~fSr~`,Jordan
lowerlevel,4,D,Arabic,B,z29Txg~- YDem,Jordan
lowerlevel,7,A,Arabic,F,v-KzkVU4#V-,Jordan
lowerlevel,4,B,Arabic,B,(ksFvauL,Jordan
lowerlevel,1,C,Arabic,S,TZ4!1Uk\P,Jordan
lowerlevel,1,C,Arabic,B,AQmzoLsr%_x548m,Jordan
lowerlevel,7,D,Arabic,B,cpv'tH3L`t{'f,Jordan
lowerlevel,8,B,Arabic,A,}=_w{]6n.~6Biuzy!,Jordan
lowerlevel,6,B,Arabic,F,v.2Rg#<K:n,Jordan
lowerlevel,5,B,Arabic,B,1L|o!,Jordan
lowerlevel,7,C,Arabic,A,u[pi,Jordan
lowerlevel,1,C,Arabic,D,~pt;]1'<9HP/ri,Jordan
lowerlevel,1,B,Arabic,A,)7((wIw2G^C/\,Jordan
lowerlevel,2,D,Arabic,C,Vh4ONE@,Jordan
lowerlevel,2,C,Arabic,D,9hdig~&O!Hl^n7,Jordan
lowerlevel,2,C,Arabic,A,$\j*VZ)26M,Jordan
lowerlevel,7,B,Arabic,B,NbsUNDfZ,Iraq
lowerlevel,6,B,Arabic,D,ZA42OgKf[fz\F,Iraq
lowerlevel,6,D,Arabic,S,!^>qu_\roEa=@?6c?,Iraq
lowerlevel,6,D,Arabic,D,Z ERdCqO 78[jl|6o5,Iraq
lowerlevel,5,B,Arabic,D,okoG{Dr2}HU,Jordan
lowerlevel,3,B,Arabic,S,bf=^CsaE-uq88]3,Jordan
lowerlevel,8,B,Arabic,D,h%O#qM5*OZ~yv,Saudiarabia
lowerlevel,1,C,Arabic,A,\w+>tc/G|T^NN^,Saudiarabia
MiddleSchool,6,A,Biology,S,s;-y yiH1&z5n:JU/x,Jordan
MiddleSchool,5,B,Biology,S,!k)rAryRc\Pa76[zRK,Jordan
MiddleSchool,8,D,Biology,A,[P_]`P[5=<P3%c<,Iraq
MiddleSchool,8,A,Biology,D,fD QsGo;;5&(nC7`?,Iraq
MiddleSchool,7,C,Biology,C,g~O.r+,Palestine
MiddleSchool,6,B,Biology,D,:8+dx=G@nn,Palestine
MiddleSchool,5,A,Biology,A,3`c'>e/V0u6/|=EZX,Jordan
MiddleSchool,6,B,Biology,B,cZCmN&oNo:4Td,Jordan
MiddleSchool,6,D,Biology,S,huKM)2#:]$,Palestine
MiddleSchool,4,B,Biology,F,3R9YU/6,Palestine
MiddleSchool,5,B,Biology,C,aijTIyYggzh,Jordan
MiddleSchool,7,A,Biology,B,R)1J[]2}{k,Jordan
